population,neighborhood,township,neighborhood_id,latitude,longitude
4693,Adnan Menderes,Arnavutköy,40490,41.21117942200278,28.70016339825508
47828,Anadolu,Arnavutköy,99359,41.186036498559716,28.74946286470569
23116,Arnavutköy Merkez,Arnavutköy,40478,41.182546301505184,28.737890672938565
10566,Atatürk,Arnavutköy,40482,41.190149302149145,28.76012510805287
12829,Boğazköy İstiklal,Arnavutköy,40483,41.18348761698082,28.768235098258465
8446,Bolluca,Arnavutköy,40487,41.19971909123478,28.768476515938215
8786,Deliklikaya,Arnavutköy,40910,41.10945496806008,28.661878097031632
3986,Fatih,Arnavutköy,40495,41.225557572724945,28.693085480069495
27328,Hadımköy,Arnavutköy,40913,41.162724978023405,28.62364494205515
11474,Haraççı,Arnavutköy,40489,41.17786698597403,28.70386654780763
10966,Hastane,Arnavutköy,40912,41.151450966695116,28.626275061305623
4141,Hicret,Arnavutköy,40486,41.19788786476645,28.757003155036955
12088,İmrahor,Arnavutköy,40481,41.20556109615587,28.744326207521933
27179,İslambey,Arnavutköy,40479,41.19393117334026,28.74469576868788
11086,Karlıbayır,Arnavutköy,40488,41.18142007373859,28.717438100099326
7116,Mareşal Fevzi Çakmak,Arnavutköy,40493,41.20500241423622,28.721683049376193
10249,Mavigöl,Arnavutköy,40485,41.21007139022934,28.76128283286952
7429,Mehmet Akif Ersoy,Arnavutköy,40491,41.20446736032859,28.70967332053621
17766,Mustafa Kemal Paşa,Arnavutköy,99358,41.19048718759947,28.729169954919605
11199,Nenehatun,Arnavutköy,99357,41.19708123952469,28.733000767129035
7471,Ömerli,Arnavutköy,40906,41.11885830282845,28.62931337205779
10345,Taşoluk,Arnavutköy,40492,41.19205105379804,28.713839740421474
3716,Tayakadın,Arnavutköy,191977,41.26999413903264,28.688497324477222
12961,Yavuz Selim,Arnavutköy,40480,41.20709102375257,28.733967975523765
20245,Yunus Emre,Arnavutköy,40484,41.18446003030833,28.76159657555022
12578,Aşıkveysel,Ataşehir,98687,41.004141685525745,29.091571317101817
32915,Atatürk,Ataşehir,99749,40.991021169425544,29.128231308372214
30731,Barbaros,Ataşehir,40527,40.9917371219505,29.09957486399261
32669,Esatpaşa,Ataşehir,40793,41.004108492279386,29.085053438709252
20464,Ferhatpaşa,Ataşehir,40577,40.98525420320643,29.180569154912494
11483,Fetih,Ataşehir,40795,41.00354524867718,29.076439854331557
70199,İçerenköy,Ataşehir,40530,40.970744153854916,29.112242866875043
31442,İnönü,Ataşehir,40534,40.97606609580046,29.13914666514963
41962,Kayışdağı,Ataşehir,40533,40.98216257885194,29.14372603334659
29256,Küçükbakkalköy,Ataşehir,40531,40.98339002583437,29.116234475395622
17639,Mevlana,Ataşehir,99516,40.987356625127944,29.153494811719067
9657,Mimar Sinan,Ataşehir,99519,40.98356182634549,29.16071077448909
13738,Mustafa Kemal,Ataşehir,40740,41.00117473721024,29.094202578747925
27068,Örnek,Ataşehir,40816,40.99568138883249,29.080710616538962
12759,Yeni Çamlıca,Ataşehir,40746,40.99054943471814,29.164420477946223
