ISTASYON,PROJE_ADI,HAT_TURU,lat,lon
Mehmet Akif,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,41.0058001386,28.881680707
Soğanlık,M4 Kadıköy - SGH Metro Hattı,Metro,40.9132883838,29.1923983239
Aksaray,M1A Yenikapı - Atatürk Havalimanı Metro Hattı,Metro,41.0120083811,28.9480900733
Olimpiyat,M9 Bahariye - Olimpiyat Metro Hattı,Metro,41.0794660403,28.7672340276
Sağmalcılar-Pancar Motor,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Tramvay,41.0572800041,28.906939745
Karadeniz,T4 Topkapı - Mescid-i Selam Tramvay Hattı,Tramvay,41.0752974339,28.8822397351
Bakırköy,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,40.980241915,28.8723322859
Erenköy,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,40.9714092752,29.0764726676
Pendik,M4 Kadıköy - SGH Metro Hattı,Metro,40.8887242519,29.2385281454
Yakacık - Adnan Kahveci,M4 Kadıköy - SGH Metro Hattı,Metro,40.8967288368,29.2271981056
Güzelyalı,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,40.8568547122,29.2834955975
Çarşı,M5 Üsküdar - Çekmeköy Metro Hattı,Metro,41.0259432808,29.0973186221
İdealtepe,Halkalı - Gebze Marmaray Yüzeysel Raylı Sistem Hattı,Banliyö,40.9378068715,29.114255858
Üsküdar,M5 Üsküdar - Çekmeköy Metro Hattı,Metro,41.0252969925,29.0128155731
Göztepe Mah.,M7 Yıldız - Mahmutbey Metro Hattı,Metro,41.0568370074,28.848131392
Altıyol,T3 Kadıköy - Moda Nostaljik Tramvay Hattı,Tramvay,40.9897914366,29.0289380334
Güngören,T1 Kabataş - Bağcılar Tramvay Hattı,Tramvay,41.0152086456,28.8775129878
Üniversite,T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Tramvay,41.0698014663,28.9428477215
Alibeyköy Merkez,T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Tramvay,41.0737690827,28.9460604337
Alibeyköy Metro,T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Tramvay,41.0784579664,28.9494471692
Alibeyköy Cep Otogarı,T5 Eminönü - Eyüp - Alibeyköy Tramvay Hattı,Tramvay,41.0868880935,28.9439170961
Cibali,T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Tramvay,41.0242383795,28.9603097439
